ActionType,ActionParameters,duration,,,,,,
EditNotes,VAST32P_revision_33_July_18_8:42_AM.patch,22,,,,,,
GetDetail,Article 112,16,,,,,,
GetDetail,Article 79,20,,,,,,
GetDetail,Article 4,18,,,,,,
GetDetail,Article 449,17,,,,,,
GetDetail,Article 38,20,,,,,,
GetDetail,Article 117,27,,,,,,
AddElement,Juliana Vann (D),1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,21,,,,,,
AddElement,Edvard Vann,36,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
AddElement,Edvard Vann (Security),1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 0,38,,,,,,
GetDetail,Article 117,45,,,,,,
GetDetail,Article 251,12,,,,,,
GetDetail,Article 222,13,,,,,,
GetDetail,Article 436,20,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
GetDetail,Article 111,12,,,,,,
GetDetail,Article 457,39,,,,,,
GetDetail,Article 143,17,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,62,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,0,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,32,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)",13,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)",1,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)",5,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,12,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)",4,,,,,,
AddElement,Jeroen Carol,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,8,,,,,,
AddElement,Jeroen Carol (D),11,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
AddElement,Jeroen Carol (D),1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,20,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,13,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Vann (?)",1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,18,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,29,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Elian Karel aka Elian Karel (D)",1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,11,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,6,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,6,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,8,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,21,,,,,,
AddElement,Elian Karel aka Elan Carol (D),27,,,,,,
EditNotes,VAST32P_revision_34_July_18_9:00_AM.patch,112,,,,,,
GetDetail,Article 320,22,,,,,,
GetDetail,Article 40,44,,,,,,
AddElement,Silvia Marek ?,302,,,,,,
EditNotes,VAST32P_revision_36_July_18_9:08_AM.patch,107,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,13,,,,,,
EditNotes,VAST32P_revision_38_July_18_9:10_AM.patch,22,,,,,,
GetDetail,Article 40,102,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,56,,,,,,
EditNotes,VAST32P_revision_40_July_18_9:13_AM.patch,23,,,,,,
GetDetail,Article 421,54,,,,,,
GetDetail,Article 424,17,,,,,,
GetDetail,Article 402,23,,,,,,
GetDetail,Article 452,41,,,,,,
AddElement,Antaura Karel ,2,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,80,,,,,,
EditNotes,VAST32P_revision_41_July_18_9:17_AM.patch,134,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 1,40,,,,,,
GetDetail,Article 28,86,,,,,,
GetDetail,Article 142,33,,,,,,
GetDetail,Article 307,20,,,,,,
GetDetail,Article 141,38,,,,,,
GetDetail,Article 141,25,,,,,,
GetDetail,Article 376,18,,,,,,
GetDetail,Article 327,26,,,,,,
Search,Vann AND POK from 1982-01-01 to 2015-01-01 page 2,41,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
GetDetail,Article 146,53,,,,,,
EditNotes,VAST32P_revision_46_July_18_9:26_AM.patch,86,,,,,,
GetDetail,Article 275,31,,,,,,
GetDetail,Article 277,59,,,,,,
GetDetail,Article 16,11,,,,,,
GetDetail,Article 365,7,,,,,,
GetDetail,Article 285,7,,,,,,
GetDetail,Article 200,12,,,,,,
GetDetail,Article 286,8,,,,,,
GetDetail,Article 167,14,,,,,,
GetDetail,Article 48,46,,,,,,
GetDetail,Article 367,10,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 1,10,,,,,,
GetDetail,Article 269,17,,,,,,
GetDetail,Article 233,11,,,,,,
GetDetail,Article 47,39,,,,,,
GetDetail,Article 19,56,,,,,,
Search,Elian Karel OR Elan Carol from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Elian Karel OR Elan Carol from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 265,15,,,,,,
Search,Elian Karel OR Elan Carol from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
AddElement,Mestache Vardshvna ?,73,,,,,,
EditNotes,VAST32P_revision_49_July_18_9:35_AM.patch,31,,,,,,
GetDetail,Article 117,6,,,,,,
GetDetail,Article 251,8,,,,,,
GetDetail,Article 436,17,,,,,,
GetDetail,Article 111,7,,,,,,
GetDetail,Article 308,13,,,,,,
GetDetail,Article 143,43,,,,,,
GetDetail,Article 320,18,,,,,,
GetDetail,Article 40,13,,,,,,
Search,Elian Karel OR Elan Carol from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
GetDetail,Article 28,11,,,,,,
GetDetail,Article 170,20,,,,,,
GetDetail,Article 311,19,,,,,,
GetDetail,Article 138,35,,,,,,
GetDetail,Article 141,22,,,,,,
Search,Elian Karel OR Elan Carol from 1982-01-01 to 2015-01-01 page 2,16,,,,,,
GetDetail,Article 254,22,,,,,,
GetDetail,Article 113,11,,,,,,
GetDetail,Article 178,30,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
GetDetail,Resume-IsiaVann.pdf,21,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,84,,,,,,
AddElement,Loreto Bodrogi,40,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
AddElement,Loreto Bodrogi (security) ?,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
AddElement,Elian Karel aka Elan Carol (D),806,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,46,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,47,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,55,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Elian Karel aka Elian Karel (D), Elian Karel aka Eli, Loreto Bodrogi, Vann (?)",30,,,,,,
Search,Isia Vann from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
GetDetail,Email Header 1164,3,,,,,,
GetDetail,Email Header 1163,11,,,,,,
GetDetail,Email Header 1157,23,,,,,,
GetDetail,Employee Record 49,9,,,,,,
GetDetail,Employee Record 49,2,,,,,,
GetDetail,Employee Record 49,1,,,,,,
GetDetail,Employee Record 49,3,,,,,,
GetDetail,Employee Record 50,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,40,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Mandor from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
AddConnection,"Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Elian Karel aka Elian Karel (D), Elian Karel aka Eli, Loreto Bodrogi, Vann (?)",5,,,,,,
Search,Mandor Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Mandor Vann from 1982-01-01 to 2015-01-01 page 0,47,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,27,,,,,,
Search,Lorenzo Di Stefano from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Stefano from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Stefano from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
EditNotes,VAST32P_revision_50_July_18_10:28_AM.patch,29,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,98,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,17,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,35,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,23,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
EditNotes,VAST32P_revision_51_July_18_10:32_AM.patch,21,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 4,1,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 3,3,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 2,6,,,,,,
GetDetail,Article 263,76,,,,,,
GetDetail,Article 297,6,,,,,,
EditNotes,VAST32P_revision_52_July_18_10:34_AM.patch,83,,,,,,
GetDetail,Article 211,37,,,,,,
EditNotes,VAST32P_revision_55_July_18_10:36_AM.patch,139,,,,,,
GetDetail,Article 211,4,,,,,,
GetDetail,Article 183,54,,,,,,
GetDetail,Article 183,3,,,,,,
GetDetail,Article 4,160,,,,,,
EditNotes,VAST32P_revision_59_July_18_10:42_AM.patch,0,,,,,,
EditNotes,VAST32P_revision_60_July_18_10:45_AM.patch,75,,,,,,
GetDetail,Article 195,20,,,,,,
GetDetail,Article 35,12,,,,,,
GetDetail,Article 68,193,,,,,,
EditNotes,VAST32P_revision_61_July_18_10:50_AM.patch,132,,,,,,
